contentId,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
7510090557616166004,Don't Waste Your Time on Networking Events,Communication patterns in a Microservice world,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent","What do you mean by ""Event-Driven""?",Communication Within an Android App With EventBus,Building Event-driven Microservices Using CQRS and Serverless
-5628343274127925011,Digital development with online check-in and mobile room keys,Five things to include in your digital transformation playbook,Where is the bank's digital vision? - Chris Skinner's blog,Digital Tool as Strategic Enabler for Banking Transformation,Six iconic retailers and their digital transformation journeys,My Approach to Mobile Accessibility Testing - Ministry of Testing
8631616594020837056,Blockchain Will Be Used By 15% of Big Banks By 2017,Mapping the Global NeoBank Landscape - Techfoliance,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain startup R3 cuts fund-raising target to $150 million: source,4 Blockchain Macro Trends: Where to Place Your Bets,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service
-6207670654614839859,How CIOs Leverage Business Intelligence to Drive Smarter Decision-Making,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence,The new tech talent you need to succeed in digital,Lessons from Becoming a Data-Driven Organization,Digital Leadership Is Not an Optional Part of Being a CEO
2255878226385826814,Six iconic retailers and their digital transformation journeys,"Samsung, SapientRazorfish Show IoT Retail Approach At NRF",The future of traditional retail is digital,Five things to include in your digital transformation playbook,Digital Tool as Strategic Enabler for Banking Transformation,Banking Needs a Customer Experience Wake-Up Call
-5458316826145145813,The future of traditional retail is digital,"Samsung, SapientRazorfish Show IoT Retail Approach At NRF",Large CPGs are under attack by startups... and consumers are winning,Six iconic retailers and their digital transformation journeys,Five things to include in your digital transformation playbook,Where is the bank's digital vision? - Chris Skinner's blog
5395868751435718725,Large CPGs are under attack by startups... and consumers are winning,We are on the verge of a consumer M&A avalanche,The future of traditional retail is digital,The Sweet Way that Gamification Helps M&M's Boost Consumer Engagement - Gamification Co,Innovation is in all the wrong places,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing
1797385737206265555,Breaking: Apple's Search Ads go LIVE!,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Voice Search Could Become Mainstream Within the Next 5 Years,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,13 Killer SEO Copywriting Tips (With Examples and A/B Tests)
5410293063635507608,"Use Docker to build, test and push your Artifacts",Labelling automated builds on Docker Hub - Microscaling Systems,Introducing Docker for Windows Server 2016 - Docker Blog,Testing a new Drupal 8 installation with 2 Docker commands,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,containerd - a core container runtime project for the industry - Docker Blog
8240934591713322028,IBM Watson: Talking To An Ad,IBM Watson is about to make Slack's chat bot smarter,Robô da IBM substitui 34 funcionários de empresa no Japão,Robô da IBM substitui 34 funcionários de empresa no Japão,"Apple &amp; IBM launch first 'MobileFirst for iOS' education app, IBM Watson Element","IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas"
174707786647990372,Bringing Pokémon GO to life on Google Cloud,Google Cloud Platform sets a course for new horizons,Blog | Niantic,Google's Cloud Machine Learning service is now in public beta,Understanding User Psychology: Thinking Like a Game Designer,8 must-see sessions for application developers at Google Cloud Next '17
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,Google Cloud Platform sets a course for new horizons,"Google Cloud Machine Learning family grows with new API, editions and pricing",How real businesses are using machine learning,Machine Learning Is No Longer Just for Experts,"Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2"
8779890754987103603,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Mastercard libera APIs para quem quer desenvolver novas fintechs,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Especialistas trazem tendências de UX para 2017 - KingHost,"Mastercard disponibiliza autenticação de pagamento por ""selfie"" no Brasil e México - Startupi","IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas"
-2424983931459616622,All Together Now. Introducing G Suite.,Customize your G Suite experience with App Maker and Recommended apps,Slack and Google announce partnership focused on better integrating their services,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,Google Cloud Platform sets a course for new horizons
6587635730509289343,Save time with Quick Access in Drive,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Support your Gmail users more easily with revamped bounce messages and message headers,Introducing Google Cloud Search: Bringing the power of Google Search to G Suite customers,Introducing Google Cloud Search: Bringing the power of Google Search to G Suite customers,New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience
5211673327552264703,Google Cloud Platform sets a course for new horizons,Google's Cloud Machine Learning service is now in public beta,"Google Cloud Machine Learning family grows with new API, editions and pricing",8 must-see sessions for application developers at Google Cloud Next '17,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Lessons from Becoming a Data-Driven Organization
886450434856305025,New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,12 Agile principles,Why do you Fail at Growth Marketing and How to Solve it,What Happens When No One and Everyone Owns a Product? - Built to Adapt,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",Slack and Google announce partnership focused on better integrating their services
-3061741807736367554,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Save time with Quick Access in Drive,New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,Support your Gmail users more easily with revamped bounce messages and message headers,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,"Practical advice for analysis of large, complex data sets"
348632682812866328,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,The Complete Google Analytics Audit Checklist | Optimization Up,Improvements coming to the Google Analytics desktop UI,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent",Building a Facebook Chat Bot with Node and Heroku,Using Display Suite in Drupal 8: How to Customize Content Pages - WebWash
3128282567747885251,Pury - New Way to Profile Your Android Application,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent","Practical advice for analysis of large, complex data sets",The Java 8 API Design Principles,Communication patterns in a Microservice world,The Complete Google Analytics Audit Checklist | Optimization Up
4430520614172753870,"Facebook, Amazon, Google, IBM and Microsoft come together to create historic Partnership on AI",Here's how The White House wants the U.S. to approach AI R&D,Andrew Ng: What AI Can and Can't Do,Democratizing AI,Top 10 Hot Artificial Intelligence (AI) Technologies,The Competitive Landscape for Machine Intelligence
-6884335507424704154,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",The internet of stings,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries","The Three R's of Enterprise Security: Rotate, Repave, and Repair - Built to Adapt",Relating a Problem Definition to IoT Architecture | Intel® Software,Announcing updates to Google's Internet of Things platform: Android Things and Weave
4785499183287168509,The new tech talent you need to succeed in digital,Digital Leadership Is Not an Optional Part of Being a CEO,Rewiring Citi for the digital age,12 Agile principles,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence
-4673235524420943843,Blog | Niantic,Bringing Pokémon GO to life on Google Cloud,Google's Cloud Machine Learning service is now in public beta,What Happens When No One and Everyone Owns a Product? - Built to Adapt,Cloud Native Part 1: Definition,Google Cloud Platform sets a course for new horizons
-5154395767417065070,Innovation is in all the wrong places,Large CPGs are under attack by startups... and consumers are winning,We are on the verge of a consumer M&A avalanche,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",The new tech talent you need to succeed in digital,Digital Leadership Is Not an Optional Part of Being a CEO
-7191607771634445823,Introducing the Open Images Dataset,Google DeepMind researchers built a deep-learning system capable of learning from very little data.,Labelling automated builds on Docker Hub - Microscaling Systems,Why Deep Learning Is Suddenly Changing Your Life,"Google Cloud Machine Learning family grows with new API, editions and pricing",ŷhat | Classifying handwritten digits using TensorFlow
-6244754482621048226,The Best Advice From Quora on 'How to Learn Machine Learning',How real businesses are using machine learning,Machine Learning Is No Longer Just for Experts,Stop Coding Machine Learning Algorithms From Scratch - Machine Learning Mastery,Google's Cloud Machine Learning service is now in public beta,"Google Cloud Machine Learning family grows with new API, editions and pricing"
2617330491231854367,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,Black Friday salva o ano do e-commerce,A saga do jovem CEO da Dasa,Especialistas trazem tendências de UX para 2017 - KingHost,"SulAmérica continua investindo, apesar da crise - Sonho Seguro","SINAIS do FUTURO imediato: #1, internet das coisas"
834896074125772354,So you want to sell to banks?,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain Will Be Used By 15% of Big Banks By 2017,Mapping the Global NeoBank Landscape - Techfoliance,How do you sell SaaS software to enterprise businesses?,Ask a Female Engineer: Joining a Startup
4893900714822288649,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,"SINAIS do FUTURO imediato: #1, internet das coisas",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Use Poka-Yoke Technique to Improve Software Quality,Especialistas trazem tendências de UX para 2017 - KingHost,O manual do deboísta corporativo
-637050915727878966,Most experts say AI isn't as much of a threat as you might think,Andrew Ng: What AI Can and Can't Do,Here's how The White House wants the U.S. to approach AI R&D,Top 10 Hot Artificial Intelligence (AI) Technologies,The Non-Technical Guide to Machine Learning & Artificial Intelligence - Machine Learnings,Democratizing AI
5111115201913219115,Engineers Shouldn't Write ETL: A Guide to Building a High Functioning Data Science Department,Lessons from Becoming a Data-Driven Organization,"Practical advice for analysis of large, complex data sets",Stop Trying to Monetize Your Data - Built to Adapt,The new tech talent you need to succeed in digital,Introducing the Data Science Maturity Model
-7838000919054582150,Festival de Fotografia Hercule Florence - Timeline | Facebook,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Especialistas trazem tendências de UX para 2017 - KingHost,"ProtoHack, hackathon criado no Vale do Silício, desembarca em São Paulo para sua primeira edição no espaço Engenho Maker - Startupi",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Black Friday salva o ano do e-commerce
-7571123172959828025,"Meerkat, star app of 2015, is officially dead",Building on Slack Saved Our Startup,Twitter is shutting down Vine,Twitter's sales team may take a hit in big upcoming layoffs,Slack swips at Skype with video calls and reaction emoji,Six iconic retailers and their digital transformation journeys
-1771108209511321547,Braincast 207 - A Revolução das Máquinas Inteligentes,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,"SINAIS do FUTURO imediato: #1, internet das coisas",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Especialistas trazem tendências de UX para 2017 - KingHost,O manual do deboísta corporativo
-3850803681204406658,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Especialistas trazem tendências de UX para 2017 - KingHost,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Como o Trello foi de 4 a 17 milhões de usuários,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi
-6654470039478316910,Advanced Android Espresso,RecyclerView Prefetch - Google Developers,What to look for in a code review ,Building a Facebook Chat Bot with Node and Heroku,Android Fundamentals: IntentService Basics,Using Display Suite in Drupal 8: How to Customize Content Pages - WebWash
3715130189384008388,JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours",12 Agile principles,Blockchain Will Be Used By 15% of Big Banks By 2017,Blockchain startup R3 cuts fund-raising target to $150 million: source,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk
-2896441888220202695,"Simple rolls out shared bank accounts that work for anyone, including roommates",Engineering Digital Banking Solutions Using UX Methodology,"Amazon looking to buy Capital One? "" Banking Technology",Yahoo discloses hack of 1 billion accounts,So you want to sell to banks?,Digital Tool as Strategic Enabler for Banking Transformation
6099026883115865746,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Introduction To Chatbots,Most Interesting APIs in 2016: Cognitive Computing,Life Beyond Email: Chatbot Marketing,Building a Facebook Chat Bot with Node and Heroku,A Tale of 2 API Platforms - GGV Capital
-1251258405608426882,Use Poka-Yoke Technique to Improve Software Quality,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,Build Quality In: The Key to Continuous Delivery in Kanban,12 Agile principles,Time to Re-Think Design Thinking,The new tech talent you need to succeed in digital
790210667253898984,Cartilha sobre técnicas de bioconstrução,Especialistas trazem tendências de UX para 2017 - KingHost,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Black Friday salva o ano do e-commerce
1536798472239364319,Future Of Consulting: Consultancies Adapt To Digital Change,Banking Needs a Customer Experience Wake-Up Call,Indian outsourcing specialists must reboot their strategies,Where is the bank's digital vision? - Chris Skinner's blog,Five things to include in your digital transformation playbook,Cognizant Named a Digital Transformation Leader in the Life Science Industry
-5881946480525580860,How Robots Can Acquire New Skills from Their Shared Experience,Machine Learning Is No Longer Just for Experts,Google DeepMind researchers built a deep-learning system capable of learning from very little data.,Why Deep Learning Is Suddenly Changing Your Life,Baidu Research grills AI models on deep learning,Stop Coding Machine Learning Algorithms From Scratch - Machine Learning Mastery
1737303669706106633,New Trend Briefing from TrendWatching | AUTONOMANIA!,Andrew Ng: What AI Can and Can't Do,Here's how The White House wants the U.S. to approach AI R&D,A smart home is where the bot is,Large CPGs are under attack by startups... and consumers are winning,trendwatching.com | 5 Trends for 2017 | TrendWatching
-5920475612630001479,How it feels to learn Javascript in 2016,"The Languages, Frameworks and Tools You Should Learn in 2017",What to look for in a code review ,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine",15 Interesting JavaScript and CSS Libraries for October 2016,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack
-615862350872519037,Facebook cria e-commerce para concorrer com eBay,Como o Trello foi de 4 a 17 milhões de usuários,Especialistas trazem tendências de UX para 2017 - KingHost,"Facebook lança Workplace, versão da rede social para empresas",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Black Friday salva o ano do e-commerce
-4996336942690402156,Live asynchronously.,9 Rules of Open-Office Etiquette,Why Programmers Want Private Offices,Seniority,Slack CEO Stewart Butterfield on the Future of Communication,Ask a Female Engineer: Joining a Startup
1233935898842140014,Feito por Elas #01 Agnieszka Holland | AntiCast,"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",Kaol Porfírio luta como uma garota! - Think Olga,Kaol Porfírio luta como uma garota! - Think Olga,O chefe é gay. E daí?,A saga do jovem CEO da Dasa
-8202212195240926680,Cover-More to raise $73.3 million to buy Travelex insurance unit,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Not Your Father's Insurance Industry - Insurance Thought Leadership,"Amazon looking to buy Capital One? "" Banking Technology"
8748370453256790422,Voice Search Could Become Mainstream Within the Next 5 Years,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,Introducing Google Cloud Search: Bringing the power of Google Search to G Suite customers,Introducing Google Cloud Search: Bringing the power of Google Search to G Suite customers,Breaking: Apple's Search Ads go LIVE!,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps
5087084654882097891,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Como a Netshoes se preparou para a Black Friday deste ano,Black Friday salva o ano do e-commerce,Especialistas trazem tendências de UX para 2017 - KingHost,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,O futuro das interfaces: Chatbots - Tableless
-8996656559398843485,Esse bot do Facebook Messenger te ajuda a estudar para o ENEM,O futuro das interfaces: Chatbots - Tableless,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,"SINAIS do FUTURO imediato: #1, internet das coisas",25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos
-2164628725543527116,"Machine Learning Tools Help Google Science Fair Finalists Find Lost Objects, Predict Breast Cancer Risk",Machine Learning Is No Longer Just for Experts,How real businesses are using machine learning,Google's Cloud Machine Learning service is now in public beta,"Google Cloud Machine Learning family grows with new API, editions and pricing",Why Deep Learning Is Suddenly Changing Your Life
2515874237935914763,Woolworths,Black Friday salva o ano do e-commerce,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Especialistas trazem tendências de UX para 2017 - KingHost,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,TI Bimodal? Receita para o desastre...
-1606909838151129701,Accenture and Adboe team on customer enegagement,Adobe and Microsoft Partner in the Azure Cloud to Help Businesses Transform Customer Engagement,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing,Banking Needs a Customer Experience Wake-Up Call,Digital Tool as Strategic Enabler for Banking Transformation,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership
5817939718364925129,,,,,,
5817939718364925129,,,,,,
2628816849077589497,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Today in Apple history: iCloud takes our files and photos to the sky | Cult of Mac
-847494979958007433,BrowserLab: Automated regression detection for the web,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine",What to look for in a code review ,Client-side ranking to more efficiently show people stories in feed,Speed Up a WordPress Website in 8 Steps,Load Testing Our Site on Pantheon (Drupalize.me)
-7527881206365368,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,"SINAIS do FUTURO imediato: #1, internet das coisas",Kaol Porfírio luta como uma garota! - Think Olga,Kaol Porfírio luta como uma garota! - Think Olga,O que é benchmarking? Veja quando um concorrente se torna inspiração!,O manual do deboísta corporativo
5949788789046720741,How to use Docker to run ASP.NET Core apps on Google App Engine,8 must-see sessions for application developers at Google Cloud Next '17,Introducing Google Cloud Shell's new code editor,"Use Docker to build, test and push your Artifacts",Customize your G Suite experience with App Maker and Recommended apps,Expanding our IDE support with a new Eclipse plugin for App Engine
3467834993860080188,15 Interesting JavaScript and CSS Libraries for October 2016,20 Awesome PHP Libraries For Early 2017,15 Awesome Sublime Text Plugins For Web Development,"The Languages, Frameworks and Tools You Should Learn in 2017",How it feels to learn Javascript in 2016,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine"
660451400045043370,Duolingo's chatbots help you learn a new language,"Which countries study which languages, and what can we learn from it? | Making Duolingo Blog","Which countries study which languages, and what can we learn from it? | Making Duolingo Blog",Introduction To Chatbots,A smart home is where the bot is,The Three Language Acquisition Stages
-4280604324733069853,The internet of stings,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",America's allies are preparing for a bumpy ride,"As Artificial Intelligence Evolves, So Does Its Criminal Potential","The Three R's of Enterprise Security: Rotate, Repave, and Repair - Built to Adapt",What DeepMind brings to Alphabet
524776334673868069,Graph-powered Machine Learning at Google,IBM Seeks to Simplify Graph with New Titan Service,How real businesses are using machine learning,Machine Learning Is No Longer Just for Experts,The Best Advice From Quora on 'How to Learn Machine Learning',Google's Cloud Machine Learning service is now in public beta
5842191581670322333,3 Pillars of the Most Successful Tech Products,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Why do you Fail at Growth Marketing and How to Solve it,How to Embrace Constant Change in Growth,Building on Slack Saved Our Startup,7 Tips to Create a Company Learning Culture like Google - Without Resources
-5658245291907121574,Machine Learning and the VP Debate,Most Interesting APIs in 2016: Cognitive Computing,"Google Cloud Machine Learning family grows with new API, editions and pricing",A Tale of 2 API Platforms - GGV Capital,The Java 8 API Design Principles,"Practical advice for analysis of large, complex data sets"
7182931494487573654,"ProtoHack, hackathon criado no Vale do Silício, desembarca em São Paulo para sua primeira edição no espaço Engenho Maker - Startupi",Como o Banco do Brasil está inovando e incentivando o intraempreendedorismo,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Black Friday salva o ano do e-commerce,Serasa Experian realiza hackathon com prêmios de até R$10 mil - Startupi,Especialistas trazem tendências de UX para 2017 - KingHost
5761988486867612282,Telegram Bolsters Bot API with New Gaming Functionality,Introduction To Chatbots,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Introducing Mini Courses with MS Chatbots,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,"Zo, Microsoft's latest attempt at a chatbot, is ready to converse on Kik app"
-8047634385511625486,The door for new contributors to Drupal is still locked,The investment case for employing a Drupal core contributor - Dries Buytaert,12 Agile principles,What to look for in a code review ,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Evaluating the Chinese Developer Community
